product_id,product_name,category,category_id,cost,sale_price,supplier,supplier_id,warehouse,images_url
PID_0401,Blue Jeans Cable BJC LC-1 Audio Cable,Cables,CID_17,40,59,Blue Jeans Cable,SID_0128,WH-MAIN,https://m.media-amazon.com/images/I/61poS0ZPs5L._AC_SL1500_.jpg
PID_0402,Monoprice Monolith 10 Inch THX Subwoofer,Speakers,CID_07,450,499,Monoprice,SID_0586,WH-MAIN,https://m.media-amazon.com/images/I/41VCk+EQpoL._AC_SL1500_.jpg
PID_0403,Cable Matters Thunderbolt 4 Cable 2m,Cables,CID_17,50,69,Cable Matters,SID_0146,WH-MAIN,https://m.media-amazon.com/images/I/71OJqY+IhDL._AC_SL1500_.jpg
PID_0404,Tilt Five Holographic Gaming System,VR headsets,CID_22,300,359,Tilt Five,SID_0882,WH-MAIN,https://img1.wsimg.com/isteam/ip/782d29b6-2377-4c6f-9205-9bcfbdbf3e66/Tilt5(7).jpeg
PID_0405,Bigscreen Beyond VR Headset,VR headsets,CID_22,900,999,Bigscreen,SID_0117,WH-MAIN,https://m.media-amazon.com/images/I/719bevReELL._AC_SL1500_.jpg
PID_0406,Vuzix Blade 2 Smart Glasses,VR headsets,CID_22,1200,1299,Vuzix,SID_0949,WH-MAIN,https://m.media-amazon.com/images/I/81OTnWQLkZL._AC_SL1500_.jpg
PID_0407,Cherry MX Ultra Low Profile Switches,Computer accessories,CID_10,30,49,Cherry Americas,SID_0174,WH-MAIN,https://m.media-amazon.com/images/I/61KTMU5jZWL._AC_SL1500_.jpg
PID_0408,Secretlab TITAN Evo Gaming Chair,Computer accessories,CID_10,500,549,Secretlab,SID_0781,WH-MAIN,https://m.media-amazon.com/images/I/41-AfqlTnQL._AC_SL1500_.jpg
PID_0409,DXRacer Master Series Gaming Chair,Computer accessories,CID_10,450,499,DXRacer,SID_0266,WH-MAIN,https://m.media-amazon.com/images/I/513W8rbZsqL._AC_SL1500_.jpg
PID_0410,AKRacing Masters Series Max Gaming Chair,Computer accessories,CID_10,400,469,AKRacing,SID_0021,WH-MAIN,https://m.media-amazon.com/images/I/61yzx7gBilL._AC_SL1500_.jpg
PID_0411,Noblechairs HERO Series Gaming Chair,Computer accessories,CID_10,450,499,Noblechairs (Pro Gamersware),SID_0625,WH-MAIN,https://m.media-amazon.com/images/I/61IsLHjjcTL._AC_SL1500_.jpg
PID_0412,Playseat Challenge Sim Racing Seat,Computer accessories,CID_10,220,249,Playseat,SID_0696,WH-MAIN,https://m.media-amazon.com/images/I/71qbbjMIMOL._AC_SL1500_.jpg
PID_0413,Next Level Racing F-GT Lite Simulator Cockpit,Computer accessories,CID_10,280,299,Next Level Racing,SID_0617,WH-MAIN,https://m.media-amazon.com/images/I/519lqvWmkcL._AC_SL1500_.jpg
PID_0414,Analogue Pocket Handheld System,Gaming consoles,CID_09,200,219,Analogue,SID_0042,WH-MAIN,https://m.media-amazon.com/images/I/51W-tEu1PJL._AC_SL1500_.jpg
PID_0415,Panic Playdate Handheld Console,Gaming consoles,CID_09,180,199,Panic Inc.,SID_0673,WH-MAIN,https://m.media-amazon.com/images/I/81lq0poy+ZL._AC_SL1500_.jpg
PID_0416,Nothing Phone (2) Smartphone,Smartphones,CID_01,600,699,Nothing Technology Ltd,SID_0632,WH-MAIN,https://m.media-amazon.com/images/I/81Rg-IHMdeL._AC_SL1500_.jpg
PID_0417,Fairphone 5 Smart Device,Smartphones,CID_01,700,789,Fairphone B.V.,SID_0317,WH-MAIN,https://m.media-amazon.com/images/I/711DzjW3JHL._AC_SL1500_.jpg
PID_0418,Planar PXL2790MW 27-Inch 4K Monitor,Monitors,CID_11,350,399,Planar Systems,SID_0695,WH-MAIN,https://m.media-amazon.com/images/I/A1Iqr2v1SIL._AC_SL1500_.jpg
PID_0419,FSI DM240 Broadcast Monitor,Monitors,CID_11,4000,4200,Flanders Scientific,SID_0336,WH-MAIN,https://m.media-amazon.com/images/I/71sIoRqKniL._AC_SL1500_.jpg
PID_0420,Boland BVB07 High Bright Monitor,Monitors,CID_11,1500,1750,Boland Monitors,SID_0131,WH-MAIN,http://www.bolandcom.com/wp-content/uploads/2015/06/BVB07DB-2017model.jpg
PID_0421,Marshall CV503 Full HD Miniature Camera,Computer accessories,CID_10,350,399,Marshall Electronics,SID_0547,WH-MAIN,https://m.media-amazon.com/images/I/61rF0jGyz4L._AC_SL1500_.jpg
PID_0422,Atomos Ninja V 5-Inch Monitor Recorder,Monitors,CID_11,380,499,Atomos,SID_0076,WH-MAIN,https://m.media-amazon.com/images/I/61b12z2RAXL._AC_SL1500_.jpg
PID_0423,Viotek GNV34DBE 34-Inch Curved UWQHD,Monitors,CID_11,300,349,Viotek,SID_0939,WH-MAIN,https://m.media-amazon.com/images/I/61hL7XOp1uL._AC_SL1500_.jpg
PID_0424,Pixio PX277 Pro Gaming Monitor,Monitors,CID_11,280,319,Pixio,SID_0694,WH-MAIN,https://m.media-amazon.com/images/I/81CD4f04LPL._AC_SL1500_.jpg
PID_0425,AOC CQ27G2 27-inch Curved Monitor,Monitors,CID_11,200,249,AOC (TPV),SID_0048,WH-MAIN,https://m.media-amazon.com/images/I/71BvlDIn+nL._AC_SL1500_.jpg
PID_0426,Zalman S2 ATX Mid Tower Case,Computer accessories,CID_10,50,69,Zalman,SID_0988,WH-MAIN,https://m.media-amazon.com/images/I/71qFsnZNWzL._AC_SL1500_.jpg
PID_0427,Rosewill Cullinan V500 ATX Case,Computer accessories,CID_10,100,139,Rosewill,SID_0753,WH-MAIN,https://m.media-amazon.com/images/I/71Sfal4MK7L._AC_SL1500_.jpg
PID_0428,PowerColor Red Devil RX 7800 XT,Computer accessories,CID_10,500,549,PowerColor (TUL),SID_0706,WH-MAIN,https://m.media-amazon.com/images/I/81my7QEJ8dL._AC_SL1500_.jpg
PID_0429,XFX Speedster MERC310 RX 7900 XT,Computer accessories,CID_10,800,899,XFX (Pine),SID_0977,WH-MAIN,https://m.media-amazon.com/images/I/71vGm7dSHoL._AC_SL1500_.jpg
PID_0430,GALAX GeForce RTX 4070 EX Gamer,Computer accessories,CID_10,600,649,Galax,SID_0360,WH-MAIN,https://m.media-amazon.com/images/I/81FyWeI-qpL._AC_SL1500_.jpg
PID_0431,Gainward Phantom RTX 4090,Computer accessories,CID_10,1600,1899,Gainward (Palit Group),SID_0359,WH-MAIN,https://m.media-amazon.com/images/I/71kXAsE+cfL._AC_SL1500_.jpg
PID_0432,Inno3D iCHILL X3 RTX 4080,Computer accessories,CID_10,1100,1299,Inno3D (InnoVISION),SID_0445,WH-MAIN,https://m.media-amazon.com/images/I/61U5PsxHroL._AC_SL1500_.jpg
PID_0433,Colorful iGame RTX 4070 Ti Vulcan,Computer accessories,CID_10,850,949,Colorful Technology,SID_0193,WH-MAIN,https://m.media-amazon.com/images/I/61KFTgdcnGL._AC_SL1500_.jpg
PID_0434,Bitmain Antminer S19 Pro,Computer accessories,CID_10,4000,4500,Bitmain Technologies,SID_0119,WH-MAIN,https://m.media-amazon.com/images/I/61DUyouezEL._AC_SL1500_.jpg
PID_0435,Leadtek WinFast RTX 4060 Ti Hurricane,Computer accessories,CID_10,400,449,Leadtek Research Inc.,SID_0508,WH-MAIN,https://www.ultratech.com.bd/image/cache/catalog/products_2023/leadtek-winfast-rtx-4060-ti-hurricane-8gb-graphics-card-2-1000x1000.jpg
PID_0436,BitFenix Nova Mesh SE TG Case,Computer accessories,CID_10,60,79,BitFenix Co.,SID_0118,WH-MAIN,https://m.media-amazon.com/images/I/71sRYl5fsxL._AC_SL1500_.jpg
PID_0437,Wyze Cam Pan v3,Security cameras,CID_20,30,39,Wyze Labs Inc.,SID_0974,WH-MAIN,https://m.media-amazon.com/images/I/61zQmZVmeKL._AC_SL1500_.jpg
PID_0438,Aqara Camera Hub G3,Security cameras,CID_20,90,109,Aqara (Lumi United),SID_0057,WH-MAIN,https://www.aqara-shop.co.uk/wp-content/uploads/2023/03/camdera-hub-g3-2.jpg
PID_0439,SwitchBot Curtain Rod 2,Smart home devices,CID_18,80,99,SwitchBot (Woan Tech),SID_0846,WH-MAIN,https://m.media-amazon.com/images/I/51x8Mf-I6IL._AC_SL1500_.jpg
PID_0440,Holy Stone HS720E GPS Drone,Drones,CID_21,250,299,Holy Stone,SID_0413,WH-MAIN,https://m.media-amazon.com/images/I/61vufzhhQ6L._AC_SL1500_.jpg
PID_0441,Potensic ATOM 3-Axis Gimbal 4K Drone,Security cameras,CID_20,280,319,Potensic (Deepsea Excellence),SID_0704,WH-MAIN,https://m.media-amazon.com/images/I/61jRqC2QCpL._AC_SL1500_.jpg
PID_0442,Ryze Tello Mini Drone,Drones,CID_21,80,99,Ryze Robotics,SID_0758,WH-MAIN,https://m.media-amazon.com/images/I/51NzAVgj2EL._AC_SL1500_.jpg
PID_0443,FIMI X8 SE 2022 V2 Drone,Drones,CID_21,450,499,FIMI Technology (Xiaomi),SID_0331,WH-MAIN,https://m.media-amazon.com/images/I/61IWrMgPWbL._AC_SL1500_.jpg
PID_0444,INNOCN 27C1U 4K Monitor,Monitors,CID_11,250,299,Innocn (Century Joint),SID_0446,WH-MAIN,https://m.media-amazon.com/images/I/614ffbKYBfL._AC_SL1500_.jpg
PID_0445,KTC M27T20 Mini-LED Monitor,Monitors,CID_11,450,499,KTC (Kangguan Technology),SID_0501,WH-MAIN,https://m.media-amazon.com/images/I/61WXcesztyL._AC_SL1500_.jpg
PID_0446,Nextorage NEM-PA 2TB PS5 SSD,Storage devices,CID_14,140,169,Nextorage Corporation,SID_0619,WH-MAIN,https://m.media-amazon.com/images/I/61lBwvgxQ2L._AC_SL1500_.jpg
PID_0447,Exascend Nitro CFexpress Type B 512GB,Storage devices,CID_14,400,499,Exascend Inc.,SID_0310,WH-MAIN,https://m.media-amazon.com/images/I/81BVMTOlC-L._AC_SL1500_.jpg
PID_0448,Innodisk SATADOM-MV 3ME4 128GB,Storage devices,CID_14,100,129,Innodisk Corporation,SID_0447,WH-MAIN,https://m.media-amazon.com/images/I/41ToV871FLL._AC_SL1500_.jpg
PID_0449,Apacer AS340 Panther 480GB SSD,Storage devices,CID_14,30,45,Apacer Technology,SID_0051,WH-MAIN,https://m.media-amazon.com/images/I/815xH+CWqkL._AC_SL1500_.jpg
PID_0450,EarFun Air Pro 3 Wireless Earbuds,Earbuds,CID_06,60,79,EarFun Technology,SID_0271,WH-MAIN,https://m.media-amazon.com/images/I/51NJT9k3TkL._AC_SL1500_.jpg
PID_0451,DOSS SoundBox Touch Portable Speaker,Speakers,CID_07,30,39,DOSS Audio,SID_0259,WH-MAIN,https://m.media-amazon.com/images/I/71QIESVX4jL._AC_SL1500_.jpg
PID_0452,Libratone TRACK Air+ Wireless Earbuds,Earbuds,CID_06,180,199,Libratone A/S,SID_0519,WH-MAIN,https://cdn.mos.cms.futurecdn.net/q5mvXEFTrcbduJhRjR6ezm-1200-80.jpg
PID_0453,Devialet Phantom I 103 dB Speaker,Speakers,CID_07,2200,2400,Devialet SA,SID_0250,WH-MAIN,https://images.squarespace-cdn.com/content/v1/5e9ae6aefbbac82692909731/1613310686001-LFO13PDPNUA2YUA5YY56/Phantom_103_dB_-_White_matte___STEREO_2400x750.png
PID_0454,Ruark Audio R410 Integrated Music System,Speakers,CID_07,1300,1499,Ruark Audio,SID_0757,WH-MAIN,https://m.media-amazon.com/images/I/71EEVTunKSL._AC_SL1500_.jpg
PID_0455,Audio Pro C10 MkII Multiroom Speaker,Speakers,CID_07,400,449,Audio Pro AB,SID_0078,WH-MAIN,https://m.media-amazon.com/images/I/71-rLelSB3L._AC_SL1500_.jpg
PID_0456,Vifa Oslo Bluetooth Speaker,Speakers,CID_07,500,549,Vifa (Guangzhou Vifa),SID_0938,WH-MAIN,https://m.media-amazon.com/images/I/81aCIx51viL._AC_SL1500_.jpg
PID_0457,Tapo C210 Pan/Tilt Security Camera,Security cameras,CID_20,30,39,Tapo (TP-Link),SID_0859,WH-MAIN,https://m.media-amazon.com/images/I/61qRnATTTJL._AC_SL1500_.jpg
PID_0458,Blue by ADT Indoor Camera,Security cameras,CID_20,150,199,Blue by ADT,SID_0127,WH-MAIN,https://m.media-amazon.com/images/I/61Tf0TEzgoL._AC_SL1500_.jpg
PID_0459,8BitDo Ultimate Bluetooth Controller,Computer accessories,CID_10,60,69,8BitDo (Shenzhen),SID_0003,WH-MAIN,https://m.media-amazon.com/images/I/51CY9cBKwRL._AC_SL1500_.jpg
PID_0460,PDP REMATCH Wired Controller Switch,Gaming consoles,CID_09,25,29,PDP (Performance Designed),SID_0679,WH-MAIN,https://m.media-amazon.com/images/I/61jXbxBjyLL._AC_SL1500_.jpg
PID_0461,SCUF Instinct Pro Xbox Controller,Gaming consoles,CID_09,200,229,Scuf Gaming (Corsair),SID_0776,WH-MAIN,https://m.media-amazon.com/images/I/710wtuzSPZL._AC_SL1500_.jpg
